!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
10058-F4	Preclinical	c-Myc inhibitor			
10-deacetylbaccatin	Preclinical	antitumor agent			
10-DEBC	Preclinical	AKT inhibitor	PIM1		
10-hydroxycamptothecin	Preclinical	topoisomerase inhibitor	TOP1		
"1,12-Besm"	Phase 2	polyamine biosynthesis inhibitor			
"1-(1,2-diphenylethyl)piperidine-(+/-)"	Preclinical	glutamate receptor antagonist			
"1,2,3,4,5,6-hexabromocyclohexane"	Preclinical	JAK inhibitor	JAK2		
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol	Preclinical				
12-O-tetradecanoylphorbol-13-acetate	Phase 2	PKC activator	CD4 | KCNT2 | TRPV4		
"1,3-dipropyl-8-phenylxanthine"	Preclinical	adenosine receptor antagonist			
1400W	Preclinical	nitric oxide synthase inhibitor	NOS1 | NOS2 | NOS3		
"1-(4-(((2s,4r)-2-((1h-1,2,4-triazol-1-yl)methyl)-2-(2,4-dichlorophenyl)-1,3-dioxolan-4-yl)methoxy)phenyl)-4-isopropylpiperazine"	Launched	sterol demethylase inhibitor		infectious disease	vulvovaginal candidiasis
"1,4-butanediol"	Phase 1	benzodiazepine receptor agonist | gamma hydroxybutyric acid agonist	MAN1B1 | PLA2G2A | PLA2G2E		
"1,5-dicaffeoylquinic-acid"	Phase 1				
"16,16-dimethylprostaglandin-e2"	Phase 2	prostanoid receptor agonist	HPGD		
"17,21-dihydroxypregn-4-ene-3,20-dione"	Launched	glucocorticoid receptor agonist	NR3C1	"gastroenterology, rheumatology, dermatology"	"ulcerative colitis, rheumatoid arthritis, psoriasis, joint inflammation, eczema"
17-hydroxyprogesterone-caproate	Launched	progesterone receptor agonist	AR | CYP1A2 | CYP2B6 | CYP3A5 | ESR1 | ESR2 | NR1H4 | NR1I2 | NR3C1 | PGR	obstetrics/gynecology	spontaneous preterm birth
17-PA	Preclinical	glucocorticoid receptor agonist			
1-acetyl-4-methylpiperazine	Preclinical	acetylcholine receptor agonist			
1-azakenpaullone	Preclinical	glycogen synthase kinase inhibitor	CCNB1 | CDK1 | CDK5 | GSK3B		
1-deoxymannojirimycin	Preclinical	alpha mannosidase inhibitor	MAN2A1		
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime	Preclinical				
1-EBIO	Preclinical	potassium channel activator	KCNN1 | KCNN2 | KCNN3 | KCNN4		
1-ethyl-2-pyrrolidone	Preclinical	transdermal absorption-enhancing compound			
"1h,1'h-2,2'-bibenzo[d]imidazole"	Phase 2	dna inhibitor			
1-hexadecanal	Preclinical	sphingosine 1-phosphate receptor substrate	DBI | RHO		
1-hexadecanol	Launched			dermatology	cosmetic
1-naphthyl-PP1	Preclinical	SRC inhibitor	EPHB4 | SRC		
1-octacosanol	Phase 2				
1-octanol	Phase 2		GJA1 | GJA10 | GJA3 | GJA4 | GJA5 | GJA8 | GJA9 | GJB1 | GJB2 | GJB3 | GJB4 | GJB5 | GJB6 | GJB7 | GJC1 | GJC2 | GJC3 | GJD2 | GJD3 | GJD4 | GJE1		
1-phenylbiguanide	Preclinical	serotonin receptor agonist	HTR3A | HTR3B		
"1S,2R-phenylpropanolamine"	Withdrawn	adrenergic receptor agonist			
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium"	Preclinical		GRIN1		
20-HETE	Preclinical	ion channel antagonist	KCNMA1		
20-hydroxyecdysone	Phase 2	ecdysone receptor modulator			
2-[1-(4-piperonyl)piperazinyl]benzothiazole	Preclinical	serotonin receptor agonist	HTR4		
2-(1-adamantylamino)benzoic-acid	Preclinical				
2-((2-ethoxyphenoxy)(phenyl)methyl)morpholine methanesulfonate					
"2-(((((((2r,3s,4r,5r)-5-(4-amino-2-oxopyrimidin-1(2h)-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methoxy)(hydroxy)phosphoryl)oxy)oxidophosphoryl)oxy)-n,n,n-trimethylethan-1-aminium"					
"2,3-cis/exo-camphanediol"	Phase 1				
"2,3-cis/exo-pinanediol"	Phase 1				
"2,3-DCPE"	Preclinical	BCL-XL downregulator	BCL2L1		
2-(3-mercaptopropyl)pentanedioic-acid	Phase 1	glutamate carboxypeptidase inhibitor	FOLH1		
"2,4-dihydroxypyrimidine-5-carboxylic acid"	Preclinical				
"2,4-dinitrochlorobenzene"	Phase 2	thioredoxin inhibitor	TXN		
"2,4-dinitrophenol"	Preclinical	ATP synthase inhibitor	APP | TTR		
"2,5-furandimethanol"	Phase 2	hemoglobin modulator	HBB		
"2,6-dimethylpiperidine"	Preclinical				
2-amino-2-(4-hydroxyphenyl)acetic acid					
2-amino-4-(methylselanyl)butanoic acid					
2-aminobenzenesulfonamide	Preclinical	carbonic anhydrase inhibitor	CA12 | CA14 | CA2 | CA6 | CA9		
2-APB	Preclinical	"1,4,5-trisphosphate inhibitor"	ITPR1 | TRPC1 | TRPC3 | TRPC4 | TRPC5 | TRPC6 | TRPC7 | TRPM2 | TRPM3 | TRPM6 | TRPV1 | TRPV6		
2-BFI	Preclinical	imidazoline receptor ligand	ADRA2A | ADRA2B | ADRA2C | MAOA | MAOB		
2-chloroadenosine	Preclinical	adenosine receptor agonist	ADORA1 | ADORA2A | ADORA2B		
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"	Preclinical				
2-chloro-N6-cyclopentyladenosine	Preclinical	adenosine receptor agonist	ADORA1 | ADORA2A | ADORA2B | ADORA3		
2-chloropyrazine	Preclinical				
2-CMDO	Preclinical	dopamine receptor antagonist	DRD2 | DRD4		
2'-C-methylguanosine	Preclinical	HCV inhibitor			
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose	Preclinical			endocrinology | oncology	hypoglycemia | pancreatic cancer
2-deoxyglucose	Phase 2	glycolysis inhibitor	SLC2A1 | SLC2A2 | SLC2A3 | SLC2A4		
2-ethoxybenzoic-acid	Phase 1	analgesic agent	PTGS1 | PTGS2		
"2-ethyl-1,3-hexanediol"	Preclinical				
2-fluoro-2-deoxy-D-galactose	Phase 1		LCT		
2-fluorofucose	Phase 1				
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione"	Preclinical				
2-hydroxyethyl-salicylate	Launched			neurology/psychiatry	pain relief
2-hydroxyflutamide	Phase 2	androgen receptor antagonist	AR		
2-hydroxysaclofen	Preclinical	GABA receptor antagonist	GABBR1 | GABBR2		
2-iminobiotin	Phase 2	nitric oxide synthase inhibitor	NOS1 | NOS2		
2-iodohippuric-acid	Preclinical				
2-iodomelatonin	Preclinical	melatonin receptor agonist	MTNR1A | MTNR1B | NQO2		
2-isopropyl-5-methylcyclohexanol					
2'-MeCCPA	Preclinical	adenosine receptor agonist	ADORA1		
2-methoxyestradiol	Phase 2	hypoxia inducible factor inhibitor	CASP3 | COMT | CYP19A1 | CYP1A1 | CYP1B1 | HIF1A | TNFRSF10B | TUBB		
2-methyl-5-hydroxytryptamine	Preclinical	serotonin receptor agonist	HTR1B | HTR1D | HTR1E | HTR1F | HTR3A | HTR3B | HTR6		
2-methyl-5-nitrophenol	Preclinical				
2-methylimidazole	Preclinical	cholesterol inhibitor			
2-octyldodecan-1-ol	Preclinical				
2-oleoylglycerol	Phase 1	glucose dependent insulinotropic receptor ligand	GPR119		
2-oxoglutaric-acid	Preclinical		OXGR1		
2-oxopropanoate	Preclinical	pyruvate dehydrogenase kinase inhibitor	ABAT		
2-phenylmelatonin	Preclinical	melatonin receptor agonist	MTNR1A | MTNR1B		
2-PMDQ	Preclinical	adrenergic receptor antagonist	ADRA1A		
2-pyridylethylamine	Preclinical	histamine receptor agonist	HRH1		
"((2r,3s,4r,5r)-5-(2,4-dioxo-3,4-dihydropyrimidin-1(2h)-yl)-3,4-dihydroxytetrahydrofuran-2-yl)methyltriphosphoric acid"					
(2s)-2-amino-5-({(1r)-2-[(carboxymethyl)amino]-1-[(nitrososulfanyl)methyl]-2-oxoethyl}amino)-5-oxopentanoic acid	Phase 1	nitric oxide stimulant	PTPN1		
"[(2s,3s,5s,8r,9s,10s,13s,14s,16s,17r)-17-acetoxy-2,16-bis(4,4-dimethylpiperazin-4-ium-1-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1h-cyclopenta[a]phenanthren-3-yl] acetate"					
2-TEDC	Preclinical	lipoxygenase inhibitor	ALOX12		
2-thiouracil	Preclinical				
"3,3'-dichlorobenzaldazine"	Preclinical	glutamate receptor modulator	GRM5		
"3,3'-diindolylmethane"	Phase 3	"CHK inhibitor | cytochrome P450 activator | indoleamine 2,3-dioxygenase inhibitor"	AHR | AR | CYP1A2 | GUSB | HIF1A | IDO1 | IFNG | PI3		
"3,4-DCPG-(+/-)"	Preclinical	glutamate receptor agonist	GRM8		
"3,4-DCPG-(R)"	Preclinical	glutamate receptor antagonist			
"3,4-DCPG-(S)"	Preclinical	glutamate receptor agonist	GRM8		
3-(4-methylbenzylidene)camphor	Launched	endocrine disruptor		dermatology	sunscreen lotion
"3,4-methylenedioxy-beta-nitrostyrene"	Preclinical	SRC inhibitor | SYK inhibitor	SRC | SYK		
"3,5-DHPG-(S)"	Preclinical	glutamate receptor agonist	GRM1		
3-alpha-bis-(4-fluorophenyl)-methoxytropane	Preclinical	dopamine uptake inhibitor	CHRM1 | SLC6A2 | SLC6A3 | SLC6A4		
3-alpha-bis(4-fluorophenyl)methoxytropane hydrochloride	Preclinical	dopamine reuptake inhibitor			
3-alpha-hydroxy-5-beta-androstan-17-one	Preclinical		HSD17B11 | IGHG2 | SULT2A1		
3-amino-benzamide	Phase 2	PARP inhibitor	PARP1		
3-anilinopropan-1-ol	Preclinical				
3-AQC	Preclinical	serotonin receptor agonist	HTR3A		
3-benzoyl-n-(1-phenylethyl)thiazolidine-4-carboxamide					
3-bromo-7-nitroindazole	Preclinical	nitric oxide synthase inhibitor	NOS1 | NOS2 | NOS3		
3-bromocamphor	Launched				
3-bromopyruvate	Preclinical	hexokinase inhibitor	HK2		
3-carboxy-4-hydroxyphenylglycine-(R)	Preclinical	glutamate receptor antagonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C		
3-carboxy-4-hydroxyphenylglycine-(S)	Preclinical	glutamate receptor antagonist	GRM1 | GRM5		
3-cpmt	Preclinical	dopamine reuptake inhibitor			
3-CPMT	Preclinical	dopamine reuptake inhibitor			
3-deazaadenosine	Phase 2	adenosylhomocysteinase inhibitor	AHCY		
3-deazaadenosine (hydrochloride)	Phase 2	adenosylhomocysteinase inhibitor	AHCY	Immunology	rheumatoid arthritis
3-deazaneplanocin-A	Preclinical	histone lysine methyltransferase inhibitor	AHCY | EZH2		
3-deazauridine	Preclinical	cytidine deaminase inhibitor			
"3-ethyl-7-hydroxy-2,8,12,16-tetramethyl-5,13-dioxo-10-(2-oxoethyl)-4,17-dioxabicyclo[14.1.0]heptadec-14-en-9-yl 3,4,6-trideoxy-3-(dimethylamino)hexopyranoside"					
3'-fluorobenzylspiperone	Preclinical	dopamine receptor ligand	DRD2		
3-hydroxy-3-phenylpentanamide	Phase 1	GABA receptor modulator			
3-indolebutyric-acid	Preclinical		B2M | HLA-A | TRAC | TRBC1		
3-MATIDA	Preclinical	glutamate receptor antagonist	GRM1		
3-methyladenine	Preclinical	PI3K inhibitor	PI3		
3-methyl-GABA	Preclinical	GABA aminotransferase activator	ABAT		
3-MPPI	Preclinical	adrenergic receptor ligand	ADRA1A		
3PO	Preclinical	phosphofructokinase inhibitor	PFKFB3		
4-(3-phosphonopropyl)-2-piperazinecarboxylic acid					
"4,4'-DDT"	Preclinical				
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	Preclinical	serotonin receptor antagonist	HTR2A		
"4,4-pentamethylenepiperidine"	Preclinical	M2 channel blocker			
"4,5,6,7-tetrabromobenzotriazole"	Preclinical	casein kinase inhibitor	AKT1 | CHEK1 | CSNK2A1 | CSNK2A2 | CSNK2B | GSK3B | LCK | MAP2K1 | MAPK1 | MAPK11 | MAPK12 | MAPK14 | MAPK8 | PRKCA | ROCK1 | RPS6KB1 | SGK1		
"4,6-diamino-3-hydroxy-2-(pentofuranosyloxy)cyclohexyl 2,6-diamino-2,6-dideoxyhexopyranoside"					
"4-acetyl-1,1-dimethylpiperazinium"	Preclinical	acetylcholine receptor agonist			
4-aminohippuric-acid	Launched		SLC22A6	nephrology	renal diagnostic agent
4-(aminomethyl)benzoic-acid	Preclinical	hemostatic agent			
4BP-TQS	Preclinical	nicotinic receptor agonist	CHRNA7		
4-carboxy-3-hydroxyphenylglycine-(RS)	Preclinical	glutamate receptor agonist | glutamate receptor antagonist	GRM1 | GRM2		
4-carboxy-3-hydroxyphenylglycine-(S)	Preclinical	glutamate receptor agonist | glutamate receptor antagonist	GRM1 | GRM2		
4-chlorophenylguanidine	Preclinical	urokinase inhibitor	PLAUR		
4-CMTB	Preclinical	free fatty acid receptor agonist	FFAR2		
4-cpa	Preclinical	pesticide	DPP9		
4-DAMP	Preclinical	cholinergic receptor antagonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5		
4E1RCat	Preclinical	protein synthesis inhibitor	EIF4E | EIF4G1		
4EGI-1	Preclinical	protein synthesis inhibitor	EIF4E		
4-galactosyllactose	Preclinical				
4-HQN	Preclinical	PARP inhibitor	PARP1		
4-hydroxy-phenazone	Preclinical				
4-IBP	Preclinical	sigma receptor agonist	SIGMAR1		
4-iodo-6-phenylpyrimidine	Preclinical	macrophage migration inhibiting factor inhibitor	MIF		
4-iodo-L-phenylalanine	Preclinical		DPP4		
4-methylgenistein	Preclinical	protein tyrosine kinase inhibitor	AR | CYP19A1 | ESRRA | ESRRB | ESRRG | FASN | PPARA | PPARG | SRD5A1 | SRD5A2		
4-methylhistamine	Preclinical	histamine receptor agonist	HRH4		
4-mu-8C	Preclinical	IRE1 inhibitor	ERN1		
4-phenolsulfonic-acid	Preclinical				
"4-phenyl-1,2,3,4-tetrahydroisoquinoline"	Preclinical	dopamine release inhibitor			
4-PPBP	Preclinical	sigma receptor ligand	SIGMAR1		
4-P-PDOT	Preclinical	melatonin receptor antagonist	MTNR1A | MTNR1B		
4-propylbenzoic-acid	Preclinical				
4-pyrimidinecarbonitrile	Preclinical				
"(4s,4ar,5s,5ar,6s,12as)-4-(dimethylamino)-5,6,10,12a-tetrahydroxy-6-methyl-1,3,11,12-tetraoxo-1,2,3,4,4a,5,5a,6,11,11a,12,12a-dodecahydro-2-naphthacenecarboxamide hydrate"					
4SC-202	Phase 1	HDAC inhibitor	HDAC1		
4-tert-butylphenol	Preclinical				
5-[({[1-(2-chloroethyl)-2-oxohydrazino]carbonyl}amino)methyl]-2-methyl-4-pyrimidinamine hydrochloride					
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one"	Preclinical				
"5,7-dichlorokynurenic-acid"	Preclinical	glutamate receptor antagonist	GLRA2 | GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D		
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione"	Preclinical		TLR7		
5-aminolevulinic-acid	Launched	oxidizing agent	ALAD	dermatology | oncology	actinic keratosis (AK) | glioma
5-BDBD	Preclinical	purinergic receptor antagonist	P2RX4		
5-carboxamidotryptamine	Preclinical	serotonin receptor agonist	HTR1A | HTR1B | HTR1D | HTR1E | HTR1F | HTR2A | HTR2B | HTR2C | HTR5A | HTR6 | HTR7		
5'-chloro-5'-deoxy-ENBA-(+/-)	Preclinical	adenosine receptor agonist	ADORA1 | ADORA2A | ADORA2B | ADORA3		
5-fluoro-3-pyridyl-methanol	Preclinical				
5-fluoropyrimidine	Phase 3	kinase inhibitor	ALK		
5-fluorouracil	Launched	thymidylate synthase inhibitor	CD44 | DPYD | TYMS	oncology | oncology | oncology | oncology	breast cancer | colorectal cancer | gastric adenocarcinoma | pancreatic cancer
5-FP	Phase 1	thymidylate synthase inhibitor	TYMS		
5-HMF	Phase 2				
5-hydroxydecanoic-acid	Preclinical				
5-hydroxyectoine	Preclinical				
5-hydroxymethyl-tolterodine	Phase 1	acetylcholine receptor antagonist	CHRM3		
5-hydroxytryptophan	Launched	neurotransmitter	SLC36A1 | SLC36A2	neurology/psychiatry	insomnia
5-iodo-A-85380	Phase 2	acetylcholine receptor agonist			
5-methylfurmethiodide	Preclinical	acetylcholine receptor agonist	CHRM1 | CHRM2 | CHRM3 | CHRM4		
5-methylhydantoin-(D)	Preclinical				
5-methylhydantoin-(L)	Preclinical				
5-octanoylsalicylic-acid	Preclinical	protein kinase activator	PRKAA1 | PRKAA2		
"(5z,8z,11z,14z,17z)-methyl icosa-5,8,11,14,17-pentaenoate"					
"6,7-dehydro-17-acetoxy-progesterone"	Preclinical	steroidal progestin			
6-aminochrysene	Phase 2	transferase inhibitor			
6-aminopenicillanic-acid	Preclinical				
6-benzylaminopurine	Preclinical	purinergic receptor activator			
6-chloromelatonin	Preclinical	melatonin receptor agonist	MTNR1A | MTNR1B		
6-diazo-5-oxo-l-nor-leucine	Phase 2	glutaminase inhibitor	GGT1 | GLS	hematologic malignancy	burkitt's lymphoma
6-diazo-5-oxo-L-norleucine	Preclinical	glutamate receptor antagonist | glutaminase inhibitor	GLS		
6-iodo-nordihydrocapsaicin	Preclinical	TRPV antagonist	TRPV1		
6-thio-2'-deoxyguanosine	Preclinical	telomerase inhibitor	TERT	oncology	non-small cell lung cancer (nsclc)
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one"	Preclinical				
7-aminocephalosporanic-acid	Preclinical	beta lactamase inhibitor			
7-chlorokynurenic-acid	Preclinical	glutamate receptor antagonist	GRIN1 | GRIN2A | GRIN2B | GRIN2C		
7-hydroxy-DPAT	Preclinical	dopamine receptor agonist	DRD2 | DRD3		
7-hydroxy-PIPAT	Preclinical	dopamine receptor ligand	DRD3		
7-hydroxystaurosporine	Phase 2	CDK inhibitor | CHK inhibitor | PKC inhibitor	AKT1 | CDK1 | CDK2 | CDK4 | CDK6 | CHEK1 | CHEK2 | GSK3B | LCK | MAPK14 | MARK1 | MARK3 | PDPK1 | PRKCA | PRKCB | PRKCD | PRKCE | PRKCG		
7-keto-DHEA	Launched	steroid			
7-methoxytacrine	Phase 2	acetylcholinesterase inhibitor	ACHE		
7-methylxanthine	Phase 2	adenosine receptor antagonist			
7-nitroindazole	Preclinical	nitric oxide synthase inhibitor	NOS1 | NOS2 | NOS3		
7-((r)-2-amino-2-phenylacetamido)-3-chloro-8-oxo-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid hydrate					
80841-78-7	Preclinical				
8-bromo-cAMP	Preclinical	PKA activator			
8-bromo-cGMP	Preclinical	PKA activator	PRKG1		
8-hydroxy-DPAT	Preclinical	serotonin receptor agonist	HTR5A | HTR7		
8-hydroxy-PIPAT	Preclinical	dopamine receptor ligand	DRD2 | DRD3		
8-M-PDOT	Preclinical	melatonin receptor agonist	MTNR1A | MTNR1B		
9-aminoacridine	Preclinical				
9-aminocamptothecin	Phase 2	topoisomerase inhibitor	TOP1		
9-anthracenecarboxylic-acid	Preclinical		ANO1 | CLCN1		
9-ing-41	Phase 2	gsk3b inhibitor	GSK3B | MARK2	hematologic malignancy	myelofibrosis
A0001	Phase 2				
A-1070722	Preclinical	glycogen synthase kinase inhibitor	GSK3A | GSK3B | PTGER2		
A-1120	Preclinical	retinoid receptor ligand	RBP4		
A12B4C3	Preclinical	polynucleotide kinase/phosphatase inhibitor	PNKP		
A205804	Preclinical	ICAM1 expression inhibitor	ICAM1 | SELE		
A-317491	Preclinical	purinergic receptor antagonist	P2RX3		
A-33903	Phase 2				
A-366	Preclinical	histone lysine methyltransferase inhibitor	EHMT1 | EHMT2		
A-381393	Preclinical	dopamine receptor antagonist	DRD4		
A-412997	Preclinical	dopamine receptor agonist	DRD4		
A-438079	Preclinical	purinergic receptor antagonist	P2RX7		
A-485	Preclinical	histone acetyltransferase inhibitor	CREBBP | EP300		
A-582941	Preclinical	nicotinic receptor agonist	CHRNA7		
A61603	Preclinical	adrenergic receptor agonist	ADRA1A		
A-61603	Preclinical	adrenergic receptor agonist	ADRA1A | ADRA1B | ADRA1D		
A66	Preclinical	PI3K inhibitor	PIK3CA		
A-674563	Preclinical	AKT inhibitor	AKT1 | PKIA | PRKACA		
A-7	Preclinical	calmodulin antagonist			
A740003	Preclinical	purinergic receptor antagonist	P2RX7		
A-769662	Preclinical	AMPK activator			
A77636	Preclinical	dopamine receptor agonist	CALY | DRD1		
A-784168	Preclinical	transient receptor potential channel antagonist	TRPV1		
A-803467	Preclinical	sodium channel blocker	SCN10A		
A-804598	Preclinical	purinergic receptor antagonist	P2RX7		
A-839977	Preclinical	purinergic receptor antagonist	IL1B | P2RX7		
A-867744	Preclinical	acetylcholine receptor allosteric modulator	CHRNA3 | CHRNA4 | CHRNA7		
A-887826	Preclinical	sodium channel blocker	SCN10A		
A922500	Preclinical	diacylglycerol O acyltransferase inhibitor	DGAT1		
A-922500	Preclinical	diacylglycerol O acyltransferase inhibitor	DGAT1		
A-939572	Preclinical	stearoyl-CoA desaturase inhibitor	SCD		
A-967079	Preclinical	transient receptor potential channel antagonist	TRPA1		
A-987306	Preclinical	histamine receptor antagonist	ADORA1 | AVPR1A | CCR1 | CHRM1 | CHRM2 | CHRM3 | CHRM4 | DRD3 | HRH4 | HTR1A | HTR1B | HTR2A | HTR2B | HTR3A | TACR2		
AA-29504	Preclinical	GABA receptor positive allosteric modulator	GABRA1 | GABRA4 | GABRB3		
AAI101	Phase 3	lactamase inhibitor	LACTB		
AB-423	Preclinical	HBV capsid assembly inhibitor			
ab-680	Phase 1	cd antagonist	NT5E	oncology	pancreatic cancer
ab928	Phase 2	adenosine receptor antagonist	ADORA2A | ADORA2B	oncology	non-small cell lung cancer (nsclc)
abacavir	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)
abafungin	Phase 3	sterol methyltransferase inhibitor			
abamectin	Launched	benzodiazepine receptor agonist	GABBR1 | GABBR2	infectious disease	gastrointestinal parasites
abamectin (avermectin b1a shown)	Launched	benzodiazepine receptor agonist	GABBR1 | GABBR2	infectious disease	gastrointestinal parasites
abametapir	Phase 3	metalloproteinase inhibitor	MMP2 | MMP8 | MMP9		
abarelix	Phase 3	gonadotropin releasing factor hormone receptor antagonist	GNRH1 | GNRHR		
ABBV-744	Phase 1	bromodomain inhibitor	BRD2		
ABC-294640	Phase 2	sphingosine kinase inhibitor	SPHK2		
abc294640 hcl	Phase 2	sphingosine kinase inhibitor	SPHK2		
abemaciclib	Launched	CDK inhibitor	CDK4 | CDK6	oncology	breast cancer
abiraterone	Launched	androgen biosynthesis inhibitor	CYP11B1 | CYP17A1	oncology	prostate cancer
abiraterone-acetate	Launched	androgen biosynthesis inhibitor	CYP17A1 | CYP2C19 | CYP2C8 | CYP3A5	oncology	prostate cancer
ABT-072	Phase 2	RNA polymerase inhibitor	NS5B		
ABT-202	Phase 1	acetylcholine receptor agonist			
ABT-239	Phase 1	histamine receptor antagonist	HRH1 | HRH2 | HRH3		
abt 418	Preclinical				
abt-418 (hydrochloride)	Preclinical	nicotinic receptor agonist	CHRNA4 | CHRNA7 | HTR3A	neurology/psychiatry	alzheimer's disease
ABT-491	Phase 1	platelet activating factor receptor antagonist	PTAFR		
ABT-639	Phase 2	calcium channel blocker	CACNA1G | CACNA1H | CACNA1I		
ABT-702	Preclinical	adenosine kinase inhibitor	ADK		
ABT-724	Phase 2	dopamine receptor agonist	DRD4		
ABT-737	Phase 1/Phase 2	BCL inhibitor	BCL2 | BCL2L1 | BCL2L2		
ABT-751	Phase 2	tubulin polymerization inhibitor	TUBB		
ABX-1431	Phase 2	monoacylglycerol lipase inhibitor	MGLL		
ABX464	Phase 2	antiviral			
AC-186	Preclinical	estrogen receptor agonist	ESR2		
AC1NDSS5	Phase 1				
AC260584	Preclinical	cholinergic receptor agonist	CHRM1		
AC-261066	Preclinical	retinoid receptor agonist	RARB		
